exerciseCode,exerciseName,imageRole,sourcePage,sourceImage,author,license,licenseUrl,attributionRequired,localAssetPath,verificationStatus,notes
LEG-004,Box squat a sedia,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_004/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-006,Squat libero a escursione confortevole,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_006/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-006,Squat libero a escursione confortevole,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_006/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-009,Hip hinge a corpo libero,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_009/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-009,Hip hinge a corpo libero,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_009/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-010,Romanian deadlift con due manubri leggeri,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_010/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-010,Romanian deadlift con due manubri leggeri,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_010/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-013,Calf raise senza appoggio,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_013/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-013,Calf raise senza appoggio,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_013/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-014,Abduzione anca in piedi con appoggio,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_014/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-014,Abduzione anca in piedi con appoggio,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_014/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-015,Abduzione anca con elastico,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_015/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-015,Abduzione anca con elastico,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_015/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-016,Estensione anca in piedi con appoggio,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_016/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
LEG-016,Estensione anca in piedi con appoggio,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/leg_016/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-002,Wall push-up con piedi più distanti,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_002/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-002,Wall push-up con piedi più distanti,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_002/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-004,Push-up inclinato più basso,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_004/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-004,Push-up inclinato più basso,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_004/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-006,Chest press con elastico in piedi,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_006/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-006,Chest press con elastico in piedi,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_006/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-007,Floor press con manubri,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_007/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-007,Floor press con manubri,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_007/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-008,Squeeze press con manubri leggeri,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_008/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-008,Squeeze press con manubri leggeri,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_008/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-010,Punch controllato con elastico leggero,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_010/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
PUSH-010,Punch controllato con elastico leggero,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/push_010/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-005,Rematore con manubrio più impegnativo,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_005/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-005,Rematore con manubrio più impegnativo,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_005/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-006,Rematore bilaterale con manubri,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_006/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-006,Rematore bilaterale con manubri,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_006/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-007,Face pull con elastico,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_007/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-007,Face pull con elastico,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_007/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-008,Straight-arm pulldown con elastico,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_008/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-008,Straight-arm pulldown con elastico,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_008/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-009,Reverse fly con elastico,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_009/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BACK-009,Reverse fly con elastico,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/back_009/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-001,Shoulder press seduto senza carico,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_001/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-001,Shoulder press seduto senza carico,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_001/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-003,Wall slide completo controllato,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_003/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-003,Wall slide completo controllato,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_003/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-004,Alzata laterale parziale senza carico,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_004/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-004,Alzata laterale parziale senza carico,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_004/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-005,Alzata laterale con elastico leggero,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_005/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-005,Alzata laterale con elastico leggero,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_005/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-007,Alzata frontale alternata leggera,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_007/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-007,Alzata frontale alternata leggera,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_007/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-008,External rotation con elastico,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_008/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
SHO-008,External rotation con elastico,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/sho_008/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-002,Curl da seduto con manubri,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_002/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-002,Curl da seduto con manubri,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_002/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-003,Curl in piedi,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_003/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-003,Curl in piedi,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_003/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-004,Hammer curl,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_004/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-004,Hammer curl,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_004/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-005,Estensione tricipiti con elastico,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_005/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-005,Estensione tricipiti con elastico,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_005/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-007,Estensione tricipiti sopra testa seduta,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_007/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
ARM-007,Estensione tricipiti sopra testa seduta,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/arm_007/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-001,Bracing addominale da seduto,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_001/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-001,Bracing addominale da seduto,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_001/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-002,Marcia seduta con bracing,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_002/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-002,Marcia seduta con bracing,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_002/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-004,Pallof press in piedi,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_004/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-004,Pallof press in piedi,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_004/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-006,Plank inclinato su supporto stabile,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_006/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-006,Plank inclinato su supporto stabile,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_006/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-007,Dead bug semplificato,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_007/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-007,Dead bug semplificato,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_007/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-009,Bird dog semplificato,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_009/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
CORE-009,Bird dog semplificato,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/core_009/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BAL-001,Stazione eretta con appoggio,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/bal_001/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BAL-001,Stazione eretta con appoggio,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/bal_001/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BAL-004,Tandem stance assistita,START,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/bal_004/start.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
BAL-004,Tandem stance assistita,END,ORIGINAL_FORGE,GENERATED_IMAGE_TOOL_REFERENCE_LOCKED,Forge Asset Studio,ORIGINAL_FORGE,,false,assets/images/img_allenamenti/bal_004/end.jpg,APPROVED,"Asset originale fotorealistico; batch IMMAGINI.3 target 60%; 1024x1024 JPEG quality 88."
